id,start_time,end_time,awake,deep,light,stages,deleted,manually
96,1522101900,1522127580,0,206,222,25L41D2L16D6L40D5L12D22L10D28L10D5L19D2L11D22L47D105L,0,0
97,1522188600,1522213200,14,95,300,11L48D9L12D56L16D69L14A28L19D127L,0,0
98,1522221780,1522225200,0,0,57,57L,0,0
99,1522273020,1522302900,0,172,326,44L28D2L17D21L11D51L23D35L12D50L10D52L11D11L15D13L30D27L15D20L,0,0
100,1522358820,1522384260,0,226,198,45L14D18L48D4L26D15L64D22L39D35L23D5L12D54L,0,0
101,1522448100,1522474740,1,264,179,31L28D3L33D1A7L31D2L17D5L27D4L14D12L10D22L20D7L39D12L17D19L11D4L17D51L,0,0
102,1522533000,1522561020,80,122,264,10L11D2L25D6L17D17L10D43L24D23L10D6L25D44L80A113L,0,0
103,1522618680,1522643760,0,159,259,19L30D3L13D66L10D22L13D7L26D4L19D50L10D30L10D30L28D28L,0,0
104,1522709640,1522731300,0,237,124,11L33D3L18D3L34D15L11D7L29D7L55D44L15D17L27D17L15D,0,0
105,1522777320,1522780800,0,42,16,16L42D,0,0
106,1522797720,1522818420,0,165,180,10L15D3L29D8L14D3L10D6L12D14L14D9L34D66L10D8L14D15L13D38L,0,0
107,1522877520,1522904400,31,228,188,10L22D2L17D12L46D11L17D5L31A10L10D32L59D52L11D15L36D37L10D2L,0,0
108,1522964400,1522998900,128,230,215,10L43D1A16L20A10L20D2L11D28L107A10L20D21L46D11L35D6L10D13L14D79L21D9L10D,0,0
109,1523050440,1523078280,41,236,185,10L32D2L32D9L23A26L58D28L18A50L20D13L17D10L26D14L16D12L10D11L25D,0,0
110,1523136540,1523162040,0,254,171,18L12D3L61D3L42D2L55D11L28D62L42D46L14D26L,0,0
111,1523218500,1523252040,61,214,283,30L17D13L10D14L16D8L40D27L15D27L15D34L61A13L19D2L61D75L10D33L11D7L,0,0
112,1523307420,1523339340,0,218,314,20L53D14L30D4L10D5L16D24L28D61L10D2L32D55L13D84L15D3L11D42L,0,0
113,1523395800,1523421300,0,299,126,11L11D2L20D2L46D7L36D16L58D11L36D2L16D8L50D38L26D29L,0,0
114,1523475480,1523509980,0,249,326,38L17D8L21D22L17D5L51D18L25D2L11D17L26D68L20D36L11D5L50D107L,0,0
